id,name,group,frequency,author,date
0,DUMMY,2,11,,
1,"robots, androids, or AI computers",2,11,,
2,battles,2,11,,
3,romance,2,11,,
4,magic,2,11,,
5,time travel,2,11,,
6,interplanetary,2,11,,
7,multi-species,2,11,,
8,beasts,2,11,,
9,psychic powers,2,11,,
10,novel technology (not Aiish),2,11,,
11,After Catastrophe,2,11,,
12,Frankenstein,1,6,Mary Shelley,1818
13,Twenty Thousand Leagues Under the Sea,1,7,Jules Vernes,1870
14,Journey to the Center of the Earth,1,2,Jules Verne,1874
15,The Time Machine,1,6,H. G. Wells,1895
16,The War of the Worlds,1,3,H. G. Wells,1898
17,Princess of Mars,1,2,Edgar Rice Burroughs,1917
18,The Skylark of Space,1,2,E E Doc Smith,1919
19,Last and First Men,1,3,Olaf Stapledon,1930
20,Brave New World,1,6,Aldous Huxley,1932
21,Swastika Night,1,2,Katharine Burdekin aka Murray Constantine,1937
22,The Space Trilogy,1,2,C. S. Lewis,1938
23,The Foundation Trilogy,1,8,Isaac Asimov,1942
24,Chronicles of the Lensmen,1,2,E E Doc Smith,1948
25,1984,1,6,George Orwell,1949
26,Earth Abides,1,3,George R. Stewart,1949
27,"The Lion, the Witch and the Wardrobe",1,2,C. S. Lewis,1950
28,"I, Robot",1,4,Isaac Asimov,1950
29,Tales of the Dying Earth,1,2,Jack Vance,1950
30,The Martian Chronicles,1,6,Ray Bradbury,1950
31,Day of the Triffids,1,3,John Wyndham,1951
32,City,1,2,Clifford D. Simak,1952
33,Childhood's End,1,4,Arthur C. Clarke,1953
34,The Space Merchants,1,3,Frederik Pohl,1953
35,The Caves of Steel,1,2,Isaac Asimov,1953
36,Fahrenheit 451,1,4,Ray Bradbury,1953
37,Bring the Jubilee,1,2,Ward Moore,1953
38,Mission of Gravity,1,2,Hal Clement,1954
39,I am Legend,1,5,Richard Matheson,1954
40,The Lord of the Rings,1,4,J. R. R. Tolkein,1955
41,Modern Classics the Death of Grass,1,2,John Christopher,1956
42,The Stars My Destination,1,6,Alfred Bester,1957
43,The Once and Future King,1,2,T. H. White,1958
44,The Rediscovery of Man,1,2,Cordwainer Smith,1959
45,Flowers for Algernon,1,4,Daniel Keyes,1959
46,A Canticle for Leibowitz,1,7,Walter M. Miller Jr,1959
47,Rogue Moon,1,2,Algis Budrys,1960
48,Stranger in a Stange Land,1,4,Robert A. Heinlein,1961
49,Solaris,1,5,Stanislaw,1961
50,A Clockwork Orange,1,5,Anthony Burgess,1962
51,The Drowned World,1,2,JG Ballard,1962
52,The Man in the High Castle,1,3,Philip K. Dick,1962
53,Something Wicked This Way Comes,1,2,Ray Bradbury,1962
54,Witch World,1,2,Andre Norton,1963
55,Cat's Cradle,1,2,Kurt Vonnegut,1963
56,A Wrinkle in Time,1,3,Madeleine L'Engle,1963
57,The Wanderer,1,2,Fritz Leiber,1964
58,The Dune Chronicles,1,9,Frank Herbert,1965
59,The Moon is a Harsh Mistress,1,6,Robert A. Heinlein,1966
60,Babel 17,1,2,Samuel R. Delany,1966
61,Dragon Riders of Pern Series,1,3,Anne McCaffrey,1967
62,Dangerous Visions,1,3,Harlan E. Ellison,1967
63,Lord of Light,1,3,Roger Zelazny,1967
64,2001: A Space Odyssey,1,7,Arthur C. Clarke,1968
65,Stand on Zanzibar,1,4,John Brunner,1968
66,Pavane,1,2,Keith Roberts,1968
67,The Last Unicorn,1,3,Peter S. Beagle,1968
68,Do Androids Dream of Electric Sheep,1,4,Philip K. Dick,1968
69,Slaughterhouse Five,1,7,Kurt Vonnegut,1969
70,Behold the Man,1,2,Michael Moorcock,1969
71,Ubik,1,3,Philip K. Dick,1969
72,The Left Hand of Darkness,1,7,Ursula K. Le Guin,1969
73,The Atrocity Exhibition,1,2,J G Ballard,1970
74,Ringworld,1,8,Larry Nivan,1970
75,The Amber Chronicles,1,2,Roger Zelazny,1970
76,The Fabulous Riverboat,1,2,Philip Jose Farmer,1971
77,Roadside Picnic,1,4,Arkady and Boris Strugatsky,1972
78,Watership Down,1,2,Richard Adams,1972
79,Dying Inside,1,2,Robert Silverberg,1972
